heading,publisher,FirstNations,Migrantsandrefugees,Racialminorities,Religiousminorities,LGBTIQ,Women,Men,Children,Youngpeople,Olderpeople,Peoplelivinginpoverty,Homelesspeople,Peopleonwelfare,Unemployedorprecariouslyemployed,Workingclass,Peoplewithdisabilitiesorchronichealthconditions,Overweightorobesepeople,Peoplewithdrugproblems,Peoplewithgamblingproblems,Prisoners,Agedcareresidents,Generaldisadvantage,Peopleinregionalorremoteareas,Survivorsofdomesticviolence,Warveterans,Singleparents,GENDERANDSEXUALITY,INSTITUTIONALISEDPEOPLE,Food.Nutrition,Water,Shelter,Healthcare.Health,Education,Energy.Cookingfuel,Sanitation,Familyrelations,Clothing.Personalcare,Violence,Familyplanning,Environment,Voice,Timeuse,Work,Crime.criminaljustice,Protectingheritage,Addiction,Recognition,Negativeemotions,Governmentassistance,Accesstotechnology,Finance,Socialconnections,Childprotection,Objectification,Slavery,Visasandcitizenship,Humanrights,Cyclesofdisadvantage,inequality,Disadvantage.notfurtherdefined,Prejudiceanddiscrimination.general,Accesstoresources.notfurtherdefined,Diversity.notfurtherdefined,Inclusion.Exclusion.notfurtherdefined,Harmsandburdens,Fairness,Freedom.notfurtherdefined,Harmony,Poverty,Injustice,Segregation,Vulnerable,AmplifiesDisadvantagedVoice,DispargesDisadvantaged,RecognisesIntersectionality,ProvidesHumanExamples,FocusesOnSolutions
Migrant workers deserve state support,Fairfax Media Management Pty Limited,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,1,0.666666667
Celebrating the migrant mosaic,News Ltd.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0.5,0,0,0.333333333
IT’S HOW CHINA WOULD REACT,News Ltd.,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0.333333333
Balance needed on new gig worker laws,Fairfax Media Management Pty Limited,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.5,0,0.666666667
Chinese Australians' key role in virus fight,Fairfax Media Management Pty Limited,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
Too soon to talk about silver linings?,Fairfax Media Management Pty Limited,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
Battle against power and glory,Fairfax Media Management Pty Limited,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.5,0.666666667
Bear of racism too easily roused,Fairfax Media Management Pty Limited,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.333333333
Black players a beacon of hope for kids,Fairfax Media Management Pty Limited,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,1,0.666666667
Pathfinder' is treading a fine line,Fairfax Media Management Pty Limited,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.333333333
